MakeName,McLaren,Maserati,MINI,Chevrolet,Porsche,Acura,Mercedes-Benz,Ford,Genesis,Smart,Dodge,Scion,Rolls-Royce,Cadillac,Honda,Hyundai,Volkswagen,Mazda,Jeep,Infiniti,LandRover,Kia,Mitsubishi,BMW,FIAT,Lincoln,Lamborghini,Jaguar,GMC,Toyota,Nissan,AstonMartin,Volvo,Ferrari,Chrysler,Bentley,Tesla,Ram,AlfaRomeo,Subaru,Buick,Lexus,Audi,,
Porsche,70,6,74,8,127,68,10,5,9,30,6,8,5,17,77,14,6,15,0,9,15,9,2,1,21,8,15,15,42,61,0,69,34,4,0,10,9,6,11,30,3,15,57,,
Acura,154,30,164,23,18,2520,34,13,8,45,6,19,2,28,216,12,13,30,7,11,17,29,6,3,39,9,38,18,38,138,6,187,16,7,5,26,26,5,15,32,8,49,156,,
Mercedes-Benz,72,0,32,3,1,53,393,2,3,17,7,5,2,31,60,16,4,14,4,6,6,9,5,3,20,13,13,6,23,79,7,30,8,2,3,5,9,4,6,32,6,11,77,,
Ford,41,0,51,4,5,35,13,53,0,18,5,7,2,22,43,3,10,16,0,4,6,3,4,4,23,3,9,10,17,33,0,32,6,10,1,3,7,5,11,21,1,7,30,,
Genesis,37,5,50,11,12,61,9,2,32,20,5,7,3,5,47,7,2,12,1,5,7,8,0,0,16,3,20,13,19,44,2,33,18,7,0,8,13,3,10,16,1,6,39,,
Smart,77,3,167,0,12,55,18,1,7,816,5,24,2,22,151,13,10,29,1,7,17,5,2,0,30,2,30,9,33,86,5,73,14,32,2,12,10,7,12,32,6,19,59,,
Dodge,67,1,31,1,4,23,8,2,2,16,171,6,1,16,49,12,2,14,3,6,8,1,4,0,32,3,13,5,29,79,0,32,9,1,2,7,3,2,5,41,2,10,24,,
Scion,27,3,60,4,3,56,7,1,5,18,1,234,3,7,53,6,3,13,1,2,4,3,0,0,22,1,7,9,14,49,1,35,6,4,1,6,4,1,9,14,5,16,33,,
Rolls-Royce,24,4,37,6,11,43,2,9,5,17,1,7,31,6,38,10,2,11,0,5,6,6,0,0,18,5,5,2,18,34,0,30,12,3,0,7,9,3,10,21,1,8,26,,
Cadillac,141,2,65,1,3,43,24,18,1,22,4,8,3,450,78,10,9,20,2,21,4,2,12,1,41,1,12,7,24,106,4,36,3,7,4,9,9,4,6,25,5,14,47,,
